src:accepted-execution-session.test.ts                    35/39  
src:accepted-execution-session.ts                         19/19  
src:accepted-request-ledger.test.ts                       28/28  
src:accepted-request-ledger.ts                            32/32  
src:completion-spool.test.ts                              18/18  
src:completion-spool.ts                                   40/41  
src:daemon-activity-projector.test.ts                     15/15  
src:daemon-activity-projector.ts                           6/6   
src:daemon-client-result-capture.test.ts                  19/19  
src:daemon-client-result-capture.ts                       19/20  
src:daemon-clock.test.ts                                   5/6   
src:daemon-clock.ts                                        5/5   
src:daemon-command-dispatcher.integration.test.ts         30/33  
src:daemon-command-dispatcher.test.ts                     31/31  
src:daemon-command-dispatcher.ts                          14/18  
src:daemon-controller.test.ts                             35/40  
src:daemon-controller.ts                                  30/31  
src:daemon-delivery-session.test.ts                       60/61  
src:daemon-delivery-session.ts                            49/51  
src:daemon-entry.test.ts                                  15/15  
src:daemon-entry.ts                                        2/3   
src:daemon-execution-client.test.ts                       24/27  
src:daemon-execution-client.ts                            23/23  
src:daemon-lifecycle-client.test.ts                       27/28  
src:daemon-lifecycle-client.ts                             8/8   
src:daemon-lifetime.test.ts                               11/12  
src:daemon-lifetime.ts                                    10/10  
src:daemon-logger.test.ts                                 47/53  
src:daemon-logger.ts                                      22/22  
src:daemon-navigation-worker-protocol.test.ts              9/9   
src:daemon-navigation-worker-protocol.ts                  20/20  
src:daemon-navigation-worker.test.ts                      36/37  
src:daemon-navigation-worker.ts                           21/22  
src:daemon-operation-observer.test.ts                     12/12  
src:daemon-operation-observer.ts                          18/18  
src:daemon-process-launcher.test.ts                       19/19  
src:daemon-process-launcher.ts                            28/30  
src:daemon-process-termination-observer.test.ts           12/12  
src:daemon-process-termination-observer.ts                 8/10  
src:daemon-protocol-validator.test.ts                     27/27  
src:daemon-protocol-validator.ts                          28/28  
src:daemon-protocol.ts                                     3/3   
src:daemon-record-observer.test.ts                        28/29  
src:daemon-record-observer.ts                              8/8   
src:daemon-registry.test.ts                               65/68  
src:daemon-registry.ts                                    70/72  
src:daemon-resource-monitor.test.ts                       48/72  
src:daemon-resource-monitor.ts                            24/24  
src:daemon-result-chunk-codec.test.ts                      6/6   
src:daemon-result-transfer-receiver.test.ts               32/33  
src:daemon-result-transfer-receiver.ts                    14/14  
src:daemon-runtime-values.ts                               3/3   
src:daemon-startup-coordinator.test.ts                   124/130 
src:daemon-startup-coordinator.ts                         25/25  
src:daemon-transport-error.ts                              3/3   
src:daemon-transport.test.ts                               4/4   
src:daemon-wire-codec.test.ts                             15/15  
src:daemon-wire-codec.ts                                  22/22  
src:daemon-worker-generation-manager.test.ts              47/51  
src:daemon-worker-generation-manager.ts                   26/27  
src:daemon-workspace-identity.test.ts                      9/9   
src:daemon-workspace-identity.ts                          14/14  
src:invocation-workspace-selector.test.ts                  6/6   
src:invocation-workspace-selector.ts                       6/6   
src:local-daemon-socket-client.test.ts                    25/25  
src:local-daemon-socket-client.ts                         26/26  
src:local-daemon-socket-server.test.ts                    58/65  
src:local-daemon-socket-server.ts                         32/33  
src:local-daemon-transport-composition.test.ts            17/20  
src:local-daemon-transport-execution.test.ts             132/133 
src:local-daemon-transport-socket-client.test.ts          16/16  
src:local-daemon-transport-validation.test.ts             86/92  
src:local-daemon-transport.test.ts                        48/50  
src:local-daemon-transport.ts                              9/9   
src:workspace-daemon-requests.test.ts                    309/322 
src:workspace-daemon.test.ts                              80/89  
src:workspace-daemon.ts                                   48/53  
src:workspace-request-queue.test.ts                       31/34  
src:workspace-request-queue.ts                            16/17  
