src:daemon-clock.ts                                        3/4   
src:daemon-command-dispatcher.integration.test.ts         30/33  
src:daemon-command-dispatcher.test.ts                     31/31  
src:daemon-command-dispatcher.ts                          14/18  
src:daemon-controller.ts                                   3/20  
src:daemon-execution-client.ts                             2/2   
src:daemon-lifecycle-client.ts                             2/2   
src:daemon-process-launcher.ts                             6/13  
src:daemon-protocol-validator.ts                           1/1   
src:daemon-protocol.ts                                     2/2   
src:daemon-record-observer.ts                              5/6   
src:daemon-registry.ts                                    47/75  
src:daemon-startup-coordinator.ts                         10/22  
src:daemon-transport-error.ts                              3/3   
src:daemon-transport.test.ts                               4/4   
src:daemon-wire-codec.ts                                   2/2   
src:daemon-workspace-identity.ts                          14/14  
src:invocation-workspace-selector.test.ts                  6/6   
src:invocation-workspace-selector.ts                       6/6   
src:local-daemon-socket-client.ts                          2/2   
src:local-daemon-socket-server.ts                          2/2   
src:local-daemon-transport.ts                              3/9   
