LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: duplicate-manifest | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: missing-manifest | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: wrong-transfer | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: wrong-raw-bytes | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: wrong-record-count | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: wrong-digest | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: duplicate-end | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > rejects corrupt resumed transfer control: chunk-after-end | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > settles an accepted completion when the acknowledgement response is eof | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > settles an accepted completion when the acknowledgement response is close | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > settles an accepted completion when the acknowledgement response is malformed | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > settles an accepted completion when the acknowledgement response is multiple | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > settles an accepted completion when the acknowledgement response is multiple-separated | base {'client-output-file': 1} | head {}
LOST  src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > disposes partial client output when daemon delivery fails after its manifest | base {'client-output-file': 1} | head {}
LOST  src/daemon/completion-spool.test.ts :: DaemonCompletionSpoolStore > fails closed on aggregate capacity and never evicts an earlier completion | base {'daemon-spool-file': 1} | head {}
HEAD-ONLY src/daemon/local-daemon-transport-execution.test.ts :: LocalDaemonTransport execution delivery > gives the reattached execute attempt its own fetch resume | base None | head {}
HEAD-ONLY src/cli-program-executor.test.ts :: CliProgramExecutor > advances nonempty output at the smallest valid chunk capacity | base None | head {}
HEAD-ONLY src/daemon/completion-spool.test.ts :: DaemonCompletionSpoolStore > uses the required output-policy capacities | base None | head {}
