base | ordinary (new LocalDaemonTransport()) | ping | delay 40 → answered pong in 44ms
base | ordinary (new LocalDaemonTransport()) | ping | delay 170 → answered pong in 172ms
base | ordinary (new LocalDaemonTransport()) | ping | delay 400 → gave up timeout in 256ms
base | ordinary (new LocalDaemonTransport()) | execution-status | delay 40 → answered status:unknown in 42ms
base | ordinary (new LocalDaemonTransport()) | execution-status | delay 170 → answered status:unknown in 173ms
base | ordinary (new LocalDaemonTransport()) | execution-status | delay 400 → gave up timeout in 252ms
base | status action (new LocalDaemonTransport( | ping | delay 40 → answered pong in 43ms
base | status action (new LocalDaemonTransport( | ping | delay 170 → gave up timeout in 102ms
base | status action (new LocalDaemonTransport( | ping | delay 400 → gave up timeout in 103ms
base | status action (new LocalDaemonTransport( | execution-status | delay 40 → answered status:unknown in 42ms
base | status action (new LocalDaemonTransport( | execution-status | delay 170 → gave up timeout in 102ms
base | status action (new LocalDaemonTransport( | execution-status | delay 400 → gave up timeout in 106ms
head | ordinary (policy.values) | ping | delay 40 → answered pong in 44ms
head | ordinary (policy.values) | ping | delay 170 → answered pong in 173ms
head | ordinary (policy.values) | ping | delay 400 → gave up timeout in 251ms
head | ordinary (policy.values) | execution-status | delay 40 → answered status:unknown in 43ms
head | ordinary (policy.values) | execution-status | delay 170 → answered status:unknown in 172ms
head | ordinary (policy.values) | execution-status | delay 400 → gave up timeout in 253ms
head | status-observer purpose (policy.values,  | ping | delay 40 → answered pong in 43ms
head | status-observer purpose (policy.values,  | ping | delay 170 → gave up timeout in 103ms
head | status-observer purpose (policy.values,  | ping | delay 400 → gave up timeout in 102ms
head | status-observer purpose (policy.values,  | execution-status | delay 40 → answered status:unknown in 42ms
head | status-observer purpose (policy.values,  | execution-status | delay 170 → gave up timeout in 104ms
head | status-observer purpose (policy.values,  | execution-status | delay 400 → gave up timeout in 102ms
base | accept-drop → manifest-drop → fetch ok | R=implicit (completeWithOneReattachment) F=implicit (resumeStarted boolean per executeOnce) | exec 2 fetch 1 ack 1 | completed  | execute#1 execute#2 fetch#1 ack
head | accept-drop → manifest-drop → fetch ok | R=0 F=0 | exec 1 fetch 0 ack 0 | rejected closed | execute#1
head | accept-drop → manifest-drop → fetch ok | R=0 F=1 | exec 1 fetch 0 ack 0 | rejected closed | execute#1
head | accept-drop → manifest-drop → fetch ok | R=0 F=2 | exec 1 fetch 0 ack 0 | rejected closed | execute#1
head | accept-drop → manifest-drop → fetch ok | R=1 F=0 | exec 2 fetch 0 ack 0 | rejected closed | execute#1 execute#2
head | accept-drop → manifest-drop → fetch ok | R=1 F=1 | exec 2 fetch 1 ack 1 | completed  | execute#1 execute#2 fetch#1 ack
head | accept-drop → manifest-drop → fetch ok | R=1 F=2 | exec 2 fetch 1 ack 1 | completed  | execute#1 execute#2 fetch#1 ack
head | accept-drop → manifest-drop → fetch ok | R=2 F=0 | exec 3 fetch 0 ack 0 | rejected closed | execute#1 execute#2 execute#3
head | accept-drop → manifest-drop → fetch ok | R=2 F=1 | exec 2 fetch 1 ack 1 | completed  | execute#1 execute#2 fetch#1 ack
head | accept-drop → manifest-drop → fetch ok | R=2 F=2 | exec 2 fetch 1 ack 1 | completed  | execute#1 execute#2 fetch#1 ack
base | manifest-drop every time | R=implicit (completeWithOneReattachment) F=implicit (resumeStarted boolean per executeOnce) | exec 1 fetch 1 ack 0 | rejected corrupt | execute#1 fetch#1
head | manifest-drop every time | R=0 F=0 | exec 1 fetch 0 ack 0 | rejected closed | execute#1
head | manifest-drop every time | R=0 F=1 | exec 1 fetch 1 ack 0 | rejected corrupt | execute#1 fetch#1
head | manifest-drop every time | R=0 F=2 | exec 1 fetch 1 ack 0 | rejected corrupt | execute#1 fetch#1
head | manifest-drop every time | R=1 F=0 | exec 2 fetch 0 ack 0 | rejected closed | execute#1 execute#2
head | manifest-drop every time | R=1 F=1 | exec 1 fetch 1 ack 0 | rejected corrupt | execute#1 fetch#1
head | manifest-drop every time | R=1 F=2 | exec 1 fetch 1 ack 0 | rejected corrupt | execute#1 fetch#1
head | manifest-drop every time | R=2 F=0 | exec 3 fetch 0 ack 0 | rejected closed | execute#1 execute#2 execute#3
head | manifest-drop every time | R=2 F=1 | exec 1 fetch 1 ack 0 | rejected corrupt | execute#1 fetch#1
head | manifest-drop every time | R=2 F=2 | exec 1 fetch 1 ack 0 | rejected corrupt | execute#1 fetch#1
base | accept-drop → corrupt end | R=implicit (completeWithOneReattachment) F=implicit (resumeStarted boolean per executeOnce) | exec 2 fetch 0 ack 0 | rejected closed | execute#1 execute#2
head | accept-drop → corrupt end | R=0 F=0 | exec 1 fetch 0 ack 0 | rejected closed | execute#1
head | accept-drop → corrupt end | R=0 F=1 | exec 1 fetch 0 ack 0 | rejected closed | execute#1
head | accept-drop → corrupt end | R=0 F=2 | exec 1 fetch 0 ack 0 | rejected closed | execute#1
head | accept-drop → corrupt end | R=1 F=0 | exec 2 fetch 0 ack 0 | rejected corrupt | execute#1 execute#2
head | accept-drop → corrupt end | R=1 F=1 | exec 2 fetch 0 ack 0 | rejected corrupt | execute#1 execute#2
head | accept-drop → corrupt end | R=1 F=2 | exec 2 fetch 0 ack 0 | rejected corrupt | execute#1 execute#2
head | accept-drop → corrupt end | R=2 F=0 | exec 2 fetch 0 ack 0 | rejected corrupt | execute#1 execute#2
head | accept-drop → corrupt end | R=2 F=1 | exec 2 fetch 0 ack 0 | rejected corrupt | execute#1 execute#2
head | accept-drop → corrupt end | R=2 F=2 | exec 2 fetch 0 ack 0 | rejected corrupt | execute#1 execute#2
